,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,6.847414222234686,5.685111270625515,1.2044468254499594,0.22841692280641246,-4.295199116294068,17.99002756076344
log_poverty,0.005167682752075575,0.22225383867523824,0.023251264333061517,0.9814498466192132,-0.4304418364771667,0.44077720198131787
log_income,-0.3178374719624427,0.5341843193273786,-0.5949958852454704,0.5518462214676962,-1.3648194989501485,0.729144555025263
rent_burden,-0.012419857853242136,0.013203687552858742,-0.9406355462079306,0.3468916593405731,-0.038298609919965074,0.013458894213480798
log_crime,0.19935221354569552,0.08984366460948684,2.218878920535988,0.02649496296177852,0.023261866672005443,0.3754425604193856
pct_white,-0.024751759121743613,0.008479138783661971,-2.9191359822340144,0.003510030727691635,-0.04137056575763784,-0.00813295248584939
poverty_metro,0.021270671669732677,0.025842907513625304,0.8230757958839584,0.4104648919625088,-0.029380496312772474,0.07192183965223783
2001,-0.056551823843554214,0.018815127823530176,-3.005657169803044,0.002650075997263822,-0.09342879674219084,-0.019674850944917575
2002,-0.03600552401168607,0.024837611877467594,-1.4496371144421452,0.14715974052303127,-0.08468634875350683,0.012675300730134682
2003,-0.027498403577150714,0.02559830113645013,-1.0742276774764157,0.2827206503729186,-0.0776701518700037,0.022673344715702273
2004,-0.04144773453671648,0.031111239028526763,-1.3322431324162916,0.18278030728404948,-0.10242464254704584,0.019529173473612875
2005,0.08160358613637442,0.1871856713902832,0.4359499609680619,0.6628730352757903,-0.2852735882105302,0.44848076048327906
2006,0.10981628905844093,0.1832447173474861,0.5992876119326093,0.5489811074024007,-0.24933675729985388,0.46896933541673574
2007,0.16600658850843786,0.1923970743790567,0.862833226774411,0.3882291677447579,-0.2110847480053873,0.543097925022263
2008,0.17499855415328486,0.18926076826216648,0.9246425223788302,0.35515188653237684,-0.19594573532694276,0.5459428436335125
2009,0.15103447384825708,0.19748333735903173,0.7647960373166625,0.4443930078092476,-0.23602575492221844,0.5380947026187326
2010,0.14804780776359439,0.2534499106957688,0.5841304396485075,0.5591325566550456,-0.34870488908500546,0.6448005046121943
2011,0.08671408854930696,0.263749841214547,0.32877399337946706,0.7423265215700212,-0.4302261011593631,0.603654278257977
2012,0.08706371741167784,0.27231168634115666,0.3197208264598786,0.7491799705915582,-0.44665738038635694,0.6207848152097126
2013,0.0816851198299644,0.26188045398287546,0.31191758906644423,0.7551031547881323,-0.43159113823147044,0.5949613778913992
2014,0.06361386932473301,0.26792105666488036,0.23743512404962697,0.8123192436099398,-0.46150175243834757,0.5887294910878136
2015,0.040797097277990524,0.27184879021694086,0.15007275642254508,0.8807072137630211,-0.4920167407879982,0.5736109353439792
2016,0.1054908000994903,0.3139541808936518,0.3360069924828427,0.7368655934953559,-0.5098480872478404,0.720829687446821
2017,0.10342337495229448,0.31353871605236944,0.32985838640424864,0.7415069680432039,-0.5111012162692802,0.7179479661738691
2018,0.15154723692102268,0.3275480961350822,0.46267170748116326,0.643599700959014,-0.49043523470840167,0.793529708550447
Anne Arundel County,1.0433736781498841,0.39446992661914654,2.6450018309183863,0.008169047501727809,0.27022682899219896,1.8165205273075693
Baltimore City,0.10427908015770426,0.5604711200798638,0.1860561167591385,0.8524007547148993,-0.9942241295736527,1.2027822898890612
Baltimore County,1.394308691217183,0.38601332309316333,3.6120740083384897,0.00030375784179611446,0.6377364804019593,2.1508809020324064
Calvert County,0.905142347522978,0.42731574217863516,2.1182050137169814,0.034157708765972385,0.06761888282584971,1.7426658122201062
Caroline County,0.6483501508271896,0.2278249782389802,2.845825579963816,0.004429645054784471,0.20182139870016685,1.0948789029542123
Carroll County,0.8245305544254395,0.31575671552188517,2.611284301784838,0.00902028704914292,0.20565876412588513,1.443402344724994
Cecil County,1.3236926307070611,0.21783609657862196,6.076553204437863,1.2279327517417985e-09,0.8967417268801732,1.750643534533949
Charles County,0.5987914438962183,0.553572495265524,1.0816856852850045,0.27939221595698294,-0.4861907096561784,1.683773597448615
Dorchester County,0.8399281601060204,0.2495340523895776,3.365986133206011,0.0007627054241978084,0.3508504045061173,1.3290059157059235
Frederick County,0.7295525066343482,0.36483304811570477,1.9996886532137153,0.04553389419323789,0.014492871957598297,1.4446121413110982
Garrett County,-0.5361019597726195,0.16157663727098445,-3.3179423017296044,0.000906832147078533,-0.8527863495668413,-0.21941756997839784
Harford County,1.4895656344580472,0.3101134176936196,4.803293083982848,1.560771685227549e-06,0.8817545046559264,2.097376764260168
Howard County,0.88115018666923,0.5225472033078093,1.6862595017089461,0.09174582774297076,-0.14302351203620578,1.9053238853746657
Kent County,0.2723171061802992,0.2674121141247247,1.0183424452240288,0.30851524370642125,-0.2518010065338759,0.7964352188944743
Montgomery County,-0.1150482119828573,0.6043841067220098,-0.1903561174148718,0.8490300821177663,-1.2996192939864089,1.0695228700206942
Prince George's County,-0.06322908257383375,0.8213857351400238,-0.07697854962510997,0.9386406092440822,-1.6731155408632363,1.5466573757155688
Queen Anne's County,0.49986706042200035,0.3577622838450122,1.3972044650703035,0.1623520944048873,-0.20133413094101948,1.2010682517850202
Somerset County,0.6335766348591046,0.3718634776152183,1.7037882798339534,0.08842064834648224,-0.09526238843253987,1.3624156581507492
St. Mary's County,0.9323221846548121,0.3400705121529883,2.741555504922421,0.006114902842403774,0.2657962286308643,1.59884814067876
Talbot County,0.3054565688041323,0.2788089883110345,1.0955764756886899,0.2732641611226425,-0.2409990068515443,0.8519121444598089
Washington County,1.1410412341186111,0.13402090070658385,8.513905130489523,1.6817162037215173e-17,0.8783650955580882,1.403717372679134
Wicomico County,1.1991780371416505,0.2621539682663186,4.574327236288188,4.777526388715488e-06,0.6853657009354098,1.7129903733478913
Worcester County,0.02012385832539554,0.19438238063593416,0.10352717288243447,0.9175445845170859,-0.3608586069501914,0.4011063236009825
